0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sff_bar_1x2,sff_bar_2x1,sff_bar_1x3,sff_bar_3x1,sff_block_2x2,sff_block_3x3,sff_block_2x3,sff_block_3x2,sff_L_2x2_up_right,sff_pixel_1x1,bucket,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,Class 0,Class 1,Class 2,Class 3
1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0.4,0.4,0.3,0.25,0.160493827,0,0.083333333,0.083333333,0.12345679,0.6,2,-3.177197633,1.96371872,-0.886622275,-0.57980207,0.105328428,0.437112341,1.157916192,2.857945055,-0.967699165,-0.776114193,1.931727519,0.998091968,0.550286159,0.604882153,0.820374866,-0.42552364,1.35936275,0,0,1,0
1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0.333333333,0.4,0.2,0.3,0.135802469,0,0.083333333,0,0.061728395,0.56,2,-3.642619518,0.877385075,1.829657378,1.433755375,-0.886713183,-1.306749013,2.477377459,0.139346186,-0.784867571,0.861724577,-0.637199901,0.408485896,-0.766742548,1.814109171,0.392836477,1.008575437,-1.246644176,0,0,1,0
1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0.444444444,0.488888889,0.35,0.45,0.259259259,0.1875,0.194444444,0.25,0.074074074,0.64,3,-0.134377445,-1.526435733,0.648658876,-0.588844701,-1.525568768,-0.980009631,2.996519788,-0.200710298,1.19821912,0.07058369,0.6443113,0.44490963,-0.206791206,0.008087257,-0.372767235,-0.770387114,-0.222669548,0,0,0,1
1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0.288888889,0.266666667,0.25,0.15,0.086419753,0,0.027777778,0.055555556,0.061728395,0.44,0,-4.791468158,-1.162270291,0.878661881,-0.639746583,1.983037303,1.008005931,-1.959278393,-1.482488612,0.315280455,0.317885807,0.724958044,-0.311773718,0.457742246,0.219341815,1.178067498,-1.129795828,-1.208969862,1,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0.644444444,0.644444444,0.6,0.55,0.555555556,0.4375,0.5,0.5,0.049382716,0.72,2,4.574877126,1.612673734,1.303466628,-1.19315013,0.610570891,1.431086343,-0.204978531,1.099751361,1.149511776,0.904063576,1.075992253,-0.905617365,1.284467262,0.57904636,-0.247006131,-0.354677981,-1.13983388,0,0,1,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0.777777778,0.822222222,0.65,0.75,0.703703704,0.4375,0.555555556,0.611111111,0.049382716,0.88,2,7.463365149,0.234891374,0.221169249,-0.774189639,-0.48392892,1.725719895,-1.265123742,-0.176612644,-0.574035004,-0.052172561,-0.757139717,-0.109886399,0.320069264,0.486902523,0.154623093,1.359223488,0.90097664,0,0,1,0
1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.422222222,0.333333333,0.35,0.2,0.209876543,0,0.111111111,0.111111111,0.061728395,0.52,2,-2.881006819,-3.35945828,-0.942090574,2.28782185,-0.050326621,-1.498795161,-0.803773084,0.731139798,0.786964335,-0.770726832,-1.241408275,-0.597990837,0.3105051,-0.528703544,0.322137109,1.473448839,-1.045372453,0,0,1,0
1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0.555555556,0.466666667,0.5,0.25,0.358024691,0,0.277777778,0.111111111,0.049382716,0.64,2,-0.167490034,-1.846589195,-0.606300744,0.117687846,2.544335151,2.142096915,-0.487423033,-0.659803463,-0.753199695,0.026533782,-0.517649538,-0.481854523,-1.377957437,0.251480755,0.998702528,-0.7091291,-0.422370998,0,0,1,0
1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0.4,0.4,0.3,0.3,0.259259259,0.125,0.194444444,0.194444444,0.061728395,0.52,2,-1.642196354,1.67192958,1.364670544,0.034703639,-1.091553481,1.842488553,0.260009398,-2.015674512,2.365737514,-0.171189102,0.114687155,0.030491636,-0.04672742,-0.161631104,-0.653178894,-0.600858047,-0.374921495,0,0,1,0
1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0.644444444,0.555555556,0.55,0.4,0.456790123,0.1875,0.333333333,0.277777778,0.061728395,0.72,2,1.960377633,-3.103553647,1.771842488,-0.423448783,-0.593712079,0.782818085,0.929669858,1.523644119,0.28525963,0.965021246,0.152447399,-1.48187746,-0.668012466,-0.035279559,-0.428753824,1.02077627,0.23494086,0,0,1,0
1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0.511111111,0.511111111,0.4,0.35,0.308641975,0.125,0.222222222,0.166666667,0.086419753,0.68,2,0.087337753,1.005711682,-0.886995032,2.09075959,0.872087357,-0.431183178,-1.300672062,-0.066374014,0.643823717,1.837701286,1.928372179,0.306874038,0.645281751,0.634659816,-0.430478178,-0.006338914,0.286280191,0,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0.8,0.711111111,0.75,0.65,0.654320988,0.5,0.583333333,0.583333333,0.049382716,0.84,2,6.895551735,-0.071777295,1.333109724,0.836431708,-1.260587331,-1.30604937,-0.149407225,-0.726185335,-1.342266934,0.200986222,1.203322216,0.486037242,-0.219820543,-0.485772741,1.203660722,-0.654272577,-0.325219651,0,0,1,0
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0.644444444,0.777777778,0.5,0.75,0.604938272,0.375,0.444444444,0.555555556,0.037037037,0.8,2,5.148870831,3.183342373,2.473308702,-0.567385402,1.031585029,-0.483561174,1.346526041,-0.110042226,-1.251335772,1.005407368,-0.93962712,-1.086642821,-1.100306184,-0.695277325,-0.590579653,0.757870317,-0.398883805,0,0,1,0
1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0.333333333,0.377777778,0.25,0.25,0.111111111,0,0.055555556,0.055555556,0.098765432,0.56,1,-3.774537531,-1.918180786,1.154991873,0.175965895,1.558821131,-0.979782879,-0.35986195,1.972494305,0.495750509,0.995780135,1.085361759,1.481397797,1.168236482,-0.502079113,-0.897985545,1.113905436,1.804558062,0,1,0,0
1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0.577777778,0.555555556,0.45,0.45,0.432098765,0.25,0.333333333,0.305555556,0.061728395,0.68,2,1.840473691,-0.424366367,1.133045927,-0.638185238,-1.308703727,1.21149856,-0.361379617,-0.455104502,1.314328475,-0.796122807,-0.589496066,-0.080076452,0.722883767,1.611019229,0.226013171,-0.916373355,1.20655931,0,0,1,0
1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0.644444444,0.666666667,0.5,0.65,0.530864198,0.375,0.416666667,0.5,0.074074074,0.76,2,4.358106646,-0.410267782,0.426435571,-1.151683206,-1.313105886,2.265608043,0.071602655,-0.729704714,0.348084089,-0.348056965,0.835467864,0.912810107,-1.193322598,-0.163660229,0.273455626,0.530438098,0.348618217,0,0,1,0
1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0.622222222,0.511111111,0.55,0.25,0.382716049,0.0625,0.277777778,0.138888889,0.061728395,0.72,2,0.908773423,0.291878279,-2.50179675,2.31347148,1.06938326,-0.222275609,-0.152900899,0.206229037,-0.427092906,0.118524073,-1.577750698,1.189239964,1.224783173,-1.142681312,-0.231258292,0.575783191,0.011687174,0,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0.733333333,0.688888889,0.65,0.65,0.604938272,0.5,0.555555556,0.555555556,0.049382716,0.8,2,6.415721338,0.122711661,-0.229817834,1.404949193,-1.584151114,-0.687581207,-1.163313708,0.526899271,0.873216031,1.074603222,1.668166201,-0.83205567,-1.187793067,0.11902046,0.71742015,0.854473262,-0.286930434,0,0,1,0
